iter,outcome,term,estimate,p
0,FFD,entropy,0.0,
0,FFD,curvature,0.0,
0,FFD,coherence,0.0,
0,GD,entropy,0.0,
0,GD,curvature,0.0,
0,GD,coherence,0.0,
1,FFD,entropy,0.0,
1,FFD,curvature,0.0,
1,FFD,coherence,0.0,
1,GD,entropy,0.0,
1,GD,curvature,0.0,
1,GD,coherence,0.0,
2,FFD,entropy,0.0,
2,FFD,curvature,0.0,
2,FFD,coherence,0.0,
2,GD,entropy,0.0,
2,GD,curvature,0.0,
2,GD,coherence,0.0,
3,FFD,entropy,0.0,
3,FFD,curvature,0.0,
3,FFD,coherence,0.0,
3,GD,entropy,0.0,
3,GD,curvature,0.0,
3,GD,coherence,0.0,
4,FFD,entropy,0.0,
4,FFD,curvature,0.0,
4,FFD,coherence,0.0,
4,GD,entropy,0.0,
4,GD,curvature,0.0,
4,GD,coherence,0.0,
5,FFD,entropy,0.0,
5,FFD,curvature,0.0,
5,FFD,coherence,0.0,
5,GD,entropy,0.0,
5,GD,curvature,0.0,
5,GD,coherence,0.0,
6,FFD,entropy,0.0,
6,FFD,curvature,0.0,
6,FFD,coherence,0.0,
6,GD,entropy,0.0,
6,GD,curvature,0.0,
6,GD,coherence,0.0,
7,FFD,entropy,0.0,
7,FFD,curvature,0.0,
7,FFD,coherence,0.0,
7,GD,entropy,0.0,
7,GD,curvature,0.0,
7,GD,coherence,0.0,
8,FFD,entropy,0.0,
8,FFD,curvature,0.0,
8,FFD,coherence,0.0,
8,GD,entropy,0.0,
8,GD,curvature,0.0,
8,GD,coherence,0.0,
9,FFD,entropy,0.0,
9,FFD,curvature,0.0,
9,FFD,coherence,0.0,
9,GD,entropy,0.0,
9,GD,curvature,0.0,
9,GD,coherence,0.0,
10,FFD,entropy,0.0,
10,FFD,curvature,0.0,
10,FFD,coherence,0.0,
10,GD,entropy,0.0,
10,GD,curvature,0.0,
10,GD,coherence,0.0,
11,FFD,entropy,0.0,
11,FFD,curvature,0.0,
11,FFD,coherence,0.0,
11,GD,entropy,0.0,
11,GD,curvature,0.0,
11,GD,coherence,0.0,
12,FFD,entropy,0.0,
12,FFD,curvature,0.0,
12,FFD,coherence,0.0,
12,GD,entropy,0.0,
12,GD,curvature,0.0,
12,GD,coherence,0.0,
13,FFD,entropy,0.0,
13,FFD,curvature,0.0,
13,FFD,coherence,0.0,
13,GD,entropy,0.0,
13,GD,curvature,0.0,
13,GD,coherence,0.0,
14,FFD,entropy,0.0,
14,FFD,curvature,0.0,
14,FFD,coherence,0.0,
14,GD,entropy,0.0,
14,GD,curvature,0.0,
14,GD,coherence,0.0,
15,FFD,entropy,0.0,
15,FFD,curvature,0.0,
15,FFD,coherence,0.0,
15,GD,entropy,0.0,
15,GD,curvature,0.0,
15,GD,coherence,0.0,
16,FFD,entropy,0.0,
16,FFD,curvature,0.0,
16,FFD,coherence,0.0,
16,GD,entropy,0.0,
16,GD,curvature,0.0,
16,GD,coherence,0.0,
17,FFD,entropy,0.0,
17,FFD,curvature,0.0,
17,FFD,coherence,0.0,
17,GD,entropy,0.0,
17,GD,curvature,0.0,
17,GD,coherence,0.0,
18,FFD,entropy,0.0,
18,FFD,curvature,0.0,
18,FFD,coherence,0.0,
18,GD,entropy,0.0,
18,GD,curvature,0.0,
18,GD,coherence,0.0,
19,FFD,entropy,0.0,
19,FFD,curvature,0.0,
19,FFD,coherence,0.0,
19,GD,entropy,0.0,
19,GD,curvature,0.0,
19,GD,coherence,0.0,
20,FFD,entropy,0.0,
20,FFD,curvature,0.0,
20,FFD,coherence,0.0,
20,GD,entropy,0.0,
20,GD,curvature,0.0,
20,GD,coherence,0.0,
21,FFD,entropy,0.0,
21,FFD,curvature,0.0,
21,FFD,coherence,0.0,
21,GD,entropy,0.0,
21,GD,curvature,0.0,
21,GD,coherence,0.0,
22,FFD,entropy,0.0,
22,FFD,curvature,0.0,
22,FFD,coherence,0.0,
22,GD,entropy,0.0,
22,GD,curvature,0.0,
22,GD,coherence,0.0,
23,FFD,entropy,0.0,
23,FFD,curvature,0.0,
23,FFD,coherence,0.0,
23,GD,entropy,0.0,
23,GD,curvature,0.0,
23,GD,coherence,0.0,
24,FFD,entropy,0.0,
24,FFD,curvature,0.0,
24,FFD,coherence,0.0,
24,GD,entropy,0.0,
24,GD,curvature,0.0,
24,GD,coherence,0.0,
25,FFD,entropy,0.0,
25,FFD,curvature,0.0,
25,FFD,coherence,0.0,
25,GD,entropy,0.0,
25,GD,curvature,0.0,
25,GD,coherence,0.0,
26,FFD,entropy,0.0,
26,FFD,curvature,0.0,
26,FFD,coherence,0.0,
26,GD,entropy,0.0,
26,GD,curvature,0.0,
26,GD,coherence,0.0,
27,FFD,entropy,0.0,
27,FFD,curvature,0.0,
27,FFD,coherence,0.0,
27,GD,entropy,0.0,
27,GD,curvature,0.0,
27,GD,coherence,0.0,
28,FFD,entropy,0.0,
28,FFD,curvature,0.0,
28,FFD,coherence,0.0,
28,GD,entropy,0.0,
28,GD,curvature,0.0,
28,GD,coherence,0.0,
29,FFD,entropy,0.0,
29,FFD,curvature,0.0,
29,FFD,coherence,0.0,
29,GD,entropy,0.0,
29,GD,curvature,0.0,
29,GD,coherence,0.0,
30,FFD,entropy,0.0,
30,FFD,curvature,0.0,
30,FFD,coherence,0.0,
30,GD,entropy,0.0,
30,GD,curvature,0.0,
30,GD,coherence,0.0,
31,FFD,entropy,0.0,
31,FFD,curvature,0.0,
31,FFD,coherence,0.0,
31,GD,entropy,0.0,
31,GD,curvature,0.0,
31,GD,coherence,0.0,
32,FFD,entropy,0.0,
32,FFD,curvature,0.0,
32,FFD,coherence,0.0,
32,GD,entropy,0.0,
32,GD,curvature,0.0,
32,GD,coherence,0.0,
33,FFD,entropy,0.0,
33,FFD,curvature,0.0,
33,FFD,coherence,0.0,
33,GD,entropy,0.0,
33,GD,curvature,0.0,
33,GD,coherence,0.0,
34,FFD,entropy,0.0,
34,FFD,curvature,0.0,
34,FFD,coherence,0.0,
34,GD,entropy,0.0,
34,GD,curvature,0.0,
34,GD,coherence,0.0,
35,FFD,entropy,0.0,
35,FFD,curvature,0.0,
35,FFD,coherence,0.0,
35,GD,entropy,0.0,
35,GD,curvature,0.0,
35,GD,coherence,0.0,
36,FFD,entropy,0.0,
36,FFD,curvature,0.0,
36,FFD,coherence,0.0,
36,GD,entropy,0.0,
36,GD,curvature,0.0,
36,GD,coherence,0.0,
37,FFD,entropy,0.0,
37,FFD,curvature,0.0,
37,FFD,coherence,0.0,
37,GD,entropy,0.0,
37,GD,curvature,0.0,
37,GD,coherence,0.0,
38,FFD,entropy,0.0,
38,FFD,curvature,0.0,
38,FFD,coherence,0.0,
38,GD,entropy,0.0,
38,GD,curvature,0.0,
38,GD,coherence,0.0,
39,FFD,entropy,0.0,
39,FFD,curvature,0.0,
39,FFD,coherence,0.0,
39,GD,entropy,0.0,
39,GD,curvature,0.0,
39,GD,coherence,0.0,
40,FFD,entropy,0.0,
40,FFD,curvature,0.0,
40,FFD,coherence,0.0,
40,GD,entropy,0.0,
40,GD,curvature,0.0,
40,GD,coherence,0.0,
41,FFD,entropy,0.0,
41,FFD,curvature,0.0,
41,FFD,coherence,0.0,
41,GD,entropy,0.0,
41,GD,curvature,0.0,
41,GD,coherence,0.0,
42,FFD,entropy,0.0,
42,FFD,curvature,0.0,
42,FFD,coherence,0.0,
42,GD,entropy,0.0,
42,GD,curvature,0.0,
42,GD,coherence,0.0,
43,FFD,entropy,0.0,
43,FFD,curvature,0.0,
43,FFD,coherence,0.0,
43,GD,entropy,0.0,
43,GD,curvature,0.0,
43,GD,coherence,0.0,
44,FFD,entropy,0.0,
44,FFD,curvature,0.0,
44,FFD,coherence,0.0,
44,GD,entropy,0.0,
44,GD,curvature,0.0,
44,GD,coherence,0.0,
45,FFD,entropy,0.0,
45,FFD,curvature,0.0,
45,FFD,coherence,0.0,
45,GD,entropy,0.0,
45,GD,curvature,0.0,
45,GD,coherence,0.0,
46,FFD,entropy,0.0,
46,FFD,curvature,0.0,
46,FFD,coherence,0.0,
46,GD,entropy,0.0,
46,GD,curvature,0.0,
46,GD,coherence,0.0,
47,FFD,entropy,0.0,
47,FFD,curvature,0.0,
47,FFD,coherence,0.0,
47,GD,entropy,0.0,
47,GD,curvature,0.0,
47,GD,coherence,0.0,
48,FFD,entropy,0.0,
48,FFD,curvature,0.0,
48,FFD,coherence,0.0,
48,GD,entropy,0.0,
48,GD,curvature,0.0,
48,GD,coherence,0.0,
49,FFD,entropy,0.0,
49,FFD,curvature,0.0,
49,FFD,coherence,0.0,
49,GD,entropy,0.0,
49,GD,curvature,0.0,
49,GD,coherence,0.0,
50,FFD,entropy,0.0,
50,FFD,curvature,0.0,
50,FFD,coherence,0.0,
50,GD,entropy,0.0,
50,GD,curvature,0.0,
50,GD,coherence,0.0,
