N,steps,alpha,beta,seed,D1,ci_low,ci_high,runtime
10000,10000,0.1,0.005,0,0.599,0.596,0.602,268.2
10000,10000,0.1,0.01,0,0.598,0.594,0.600,377.6
10000,10000,0.1,0.015,0,0.599,0.595,0.602,495.6
10000,10000,0.1,0.02,0,0.615,0.612,0.618,607.1
10000,10000,0.1,0.025,0,0.620,0.616,0.622,704.9
10000,10000,0.1,0.03,0,0.629,0.625,0.631,819.7
10000,10000,0.1,0.04,0,0.641,0.637,0.644,1045.8
10000,10000,0.1,0.05,0,0.613,0.609,0.616,1272.2
10000,10000,0.1,0.06,0,0.655,0.651,0.658,1501.1
10000,10000,0.1,0.08,0,0.646,0.642,0.649,1962.4
10000,10000,0.2,0.005,0,0.593,0.590,0.596,226.1
10000,10000,0.2,0.01,0,0.611,0.607,0.614,338.6
10000,10000,0.2,0.015,0,0.619,0.615,0.623,455.6
10000,10000,0.2,0.02,0,0.613,0.610,0.616,568.5
10000,10000,0.2,0.025,0,0.625,0.622,0.629,683.4
10000,10000,0.2,0.03,0,0.640,0.636,0.644,796.9
10000,10000,0.2,0.04,0,0.641,0.637,0.645,1028.0
10000,10000,0.2,0.05,0,0.638,0.634,0.642,1249.7
10000,10000,0.2,0.06,0,0.648,0.644,0.651,1473.0
10000,10000,0.2,0.08,0,0.658,0.652,0.661,1937.1
10000,10000,0.3,0.005,0,0.606,0.601,0.609,215.3
10000,10000,0.3,0.01,0,0.598,0.594,0.602,328.8
10000,10000,0.3,0.015,0,0.614,0.609,0.617,442.8
10000,10000,0.3,0.02,0,0.609,0.604,0.613,555.3
10000,10000,0.3,0.025,0,0.617,0.613,0.620,670.5
10000,10000,0.3,0.03,0,0.618,0.614,0.622,784.6
10000,10000,0.3,0.04,0,0.638,0.633,0.642,1014.3
10000,10000,0.3,0.05,0,0.635,0.630,0.639,1240.6
10000,10000,0.3,0.06,0,0.636,0.631,0.639,1469.9
10000,10000,0.3,0.08,0,0.633,0.629,0.637,1925.8
10000,10000,0.4,0.005,0,0.601,0.597,0.606,212.0
10000,10000,0.4,0.01,0,0.595,0.590,0.599,322.7
10000,10000,0.4,0.015,0,0.611,0.607,0.615,437.7
10000,10000,0.4,0.02,0,0.617,0.613,0.622,549.4
10000,10000,0.4,0.025,0,0.593,0.587,0.596,663.0
10000,10000,0.4,0.03,0,0.608,0.603,0.612,777.5
10000,10000,0.4,0.04,0,0.630,0.626,0.634,1007.9
10000,10000,0.4,0.05,0,0.632,0.627,0.637,1237.1
10000,10000,0.4,0.06,0,0.627,0.622,0.631,1461.6
10000,10000,0.4,0.08,0,0.641,0.636,0.645,1921.6
10000,10000,0.5,0.005,0,0.583,0.579,0.588,207.0
10000,10000,0.5,0.01,0,0.569,0.564,0.573,319.5
10000,10000,0.5,0.015,0,0.609,0.603,0.613,432.3
10000,10000,0.5,0.02,0,0.606,0.602,0.611,546.3
10000,10000,0.5,0.025,0,0.613,0.609,0.618,661.0
10000,10000,0.5,0.03,0,0.626,0.621,0.630,773.7
10000,10000,0.5,0.04,0,0.604,0.599,0.608,1003.7
10000,10000,0.5,0.05,0,0.623,0.619,0.628,1232.9
10000,10000,0.5,0.06,0,0.627,0.623,0.632,1458.2
10000,10000,0.5,0.08,0,0.644,0.639,0.650,3258.2
10000,10000,0.6,0.005,0,0.587,0.582,0.590,516.0
10000,10000,0.6,0.01,0,0.589,0.584,0.595,526.2
10000,10000,0.6,0.015,0,0.589,0.585,0.594,433.5
10000,10000,0.6,0.02,0,0.584,0.579,0.589,548.1
10000,10000,0.6,0.025,0,0.602,0.598,0.607,659.2
10000,10000,0.6,0.03,0,0.615,0.610,0.619,772.7
10000,10000,0.6,0.04,0,0.621,0.617,0.626,999.6
10000,10000,0.6,0.05,0,0.622,0.616,0.626,1226.8
10000,10000,0.6,0.06,0,0.629,0.623,0.633,1460.1
10000,10000,0.6,0.08,0,0.633,0.627,0.638,1918.3
10000,10000,0.8,0.005,0,0.565,0.559,0.569,200.5
10000,10000,0.8,0.01,0,0.558,0.554,0.562,314.1
10000,10000,0.8,0.015,0,0.552,0.547,0.557,427.5
10000,10000,0.8,0.02,0,0.578,0.573,0.582,542.7
10000,10000,0.8,0.025,0,0.593,0.588,0.598,658.8
10000,10000,0.8,0.03,0,0.599,0.593,0.605,773.1
10000,10000,0.8,0.04,0,0.599,0.592,0.604,997.6
10000,10000,0.8,0.05,0,0.609,0.602,0.614,1226.2
10000,10000,0.8,0.06,0,0.625,0.620,0.631,1451.8
10000,10000,0.8,0.08,0,0.598,0.592,0.603,1913.3
10000,10000,1.0,0.005,0,0.559,0.554,0.564,200.6
10000,10000,1.0,0.01,0,0.580,0.573,0.584,313.0
10000,10000,1.0,0.015,0,0.576,0.570,0.582,427.0
10000,10000,1.0,0.02,0,0.572,0.567,0.578,540.3
10000,10000,1.0,0.025,0,0.590,0.583,0.595,654.6
10000,10000,1.0,0.03,0,0.608,0.602,0.613,768.5
10000,10000,1.0,0.04,0,0.581,0.574,0.586,997.1
10000,10000,1.0,0.05,0,0.594,0.587,0.600,1224.2
10000,10000,1.0,0.06,0,0.589,0.583,0.594,1451.9
10000,10000,1.0,0.08,0,0.609,0.603,0.614,1905.4
10000,10000,1.5,0.005,0,0.531,0.524,0.536,196.2
10000,10000,1.5,0.01,0,0.554,0.548,0.559,310.4
10000,10000,1.5,0.015,0,0.548,0.542,0.554,423.0
10000,10000,1.5,0.02,0,0.571,0.562,0.576,536.8
10000,10000,1.5,0.025,0,0.571,0.565,0.578,653.4
10000,10000,1.5,0.03,0,0.587,0.580,0.593,767.9
10000,10000,1.5,0.04,0,0.587,0.581,0.594,993.7
10000,10000,1.5,0.05,0,0.557,0.551,0.563,1224.5
10000,10000,1.5,0.06,0,0.559,0.553,0.564,1451.0
10000,10000,1.5,0.08,0,0.569,0.563,0.577,1909.7
10000,10000,2.0,0.005,0,0.519,0.512,0.524,196.0
10000,10000,2.0,0.01,0,0.556,0.549,0.563,308.7
10000,10000,2.0,0.015,0,0.532,0.526,0.538,422.4
10000,10000,2.0,0.02,0,0.532,0.525,0.539,537.6
10000,10000,2.0,0.025,0,0.555,0.549,0.561,652.5
10000,10000,2.0,0.03,0,0.549,0.542,0.556,763.8
10000,10000,2.0,0.04,0,0.545,0.538,0.551,993.7
10000,10000,2.0,0.05,0,0.565,0.558,0.572,1221.1
10000,10000,2.0,0.06,0,0.555,0.549,0.561,1452.2
10000,10000,2.0,0.08,0,0.547,0.540,0.554,1907.8
